one,two
“La bestialidad,“Зверство
"imperialista,","империалистическое,"
bestialidad,зверство
que,которое
no,не
tiene,имеет
una frontera,границы
"determinada,","определенной,"
ni,ни
pertenece,принадлежит
a,к
un país,стране
determinado.,определенной.
Bestias,Животными
fueron,стали
las hordas,орды
"hitleristas,","гитлеровцев,"
como,как
bestias,животными
son,стали
los norteamericanos,американцы
"hoy,","сегодня,"
como,как
bestias,животными
son,стали
los paracaidistas,парашютисты
"belgas,","бельгийцы,"
como,как
bestias,животными
fueron,стали
los imperialistas,империалисты
franceses,французы
en,в
Argelia”.,Алжире”.
,
,
“Porque,“Потому что
es,это
la naturaleza,природа
del imperialismo,империализма
la que,которая
bestializa,превращает в животных
"a los hombres,","людей,"
la que,которая
la,её
convierte,превращает
en,в
fiera,хищное животное
sedienta,жаждущее
"de sangre,","крови,"
que,что
están,они суть
dispuestas,предрасположены
"a degollar,","разрушать,"
asesinar;,резать
a destruir,разрушать
hasta,до
la última,последнего
imagen,образа
"de un revolucionario,","революционера,"
de un partidario,сторонника
de un régimen,режима
que haya caído,который упал
bajo,под
su,его
bota,сапог
o,или
que,который
luche,да сражается
por,за
su,свою
libertad”.,свободу
,
La estatua,Статуя
que,которая
recuerda,напоминает
"a Lumumba,","Лумумбу,"
hoy,сегодня
destruida,разрушенная
pero,но
mañana,завтра
"reconstruida,","восстановленная,"
nos,нам
recuerda,напоминает
también,также
la historia,историю
trágica,трагическую
de ese,этого
mártir,мученика
de la revolución,революции
de mundo:,мира:
“Que,“Что
no se puede,нельзя
confiar,полагаться
en,на
"el imperialismo,","империализм,"
pero ni tantito,ни насколечко
"así,","так,"
nada…”,никак”
