zh,en
Shàng,Last
"zhōu,",week
yòu,there-be
yī,one
míng,person
zhōngguó,Chinese
liúxuéshēng,foreign-student
zài,in
měiguó,America
bùxìng,unfortunately
yùhài.,murdered.
Yóutā,Utah
dàxué,university
xiàofāng,school-authorities
hé,and
jǐngfāng,police
zhàokāi,convene
xīnwén,journalistic
fābùhuì.,news-conference.
Měiguó,American
yóutā,Utah
dàxué,university
(University,(University
of,of
Utah),Utah)
10 yuè,10th month
30 rì,30th day
wǎnjiān,in-the-evening
fāshēng,occurred
jiéchē,car-jacking
shārénàn.,homicide-case.
23,23
Suì de,year-old
zhōngguó,Chinese
liúxuéshēng,foreign-student
guōchénwěi,Guo-chen Wei
"(ChenWei Guo,","(ChenWei Guo,"
yīnyì),transliterated)
zài,at
zǔzhǐ,preventing
dǎitú,ruffian
qiǎngjié,robbing
zìjǐde,own
chē,car
"shí,","time,"
bèi,was
kāiqiāng,open-fire[upon]
dǎsǐ.,killed.
Jǐngfāng,police
zhuāhuòle,arrested
fànzuì,commit-the-crime
xiányí,suspicion
rén:,person:
24 Suì de,24 year-old
Austin,Austin
"Boutain,","Boutain,"
bǎ,Acc
zhècì,this-time
bàolì,violence
xíjí,attack
dìngwèi,orientate
wèi,as
"""wú mùdì,","""unintentional,"
"suíjī de""","random"""
gōngjí,assault
xíngwéi.,deed.
Xiōngshǒu,Murderer's
shārén de,murder's
dòngjī,motive
"bùmíng,","fail-to-understand,"
shòuhài zhě,suffered-one
hé,and
xiōngshǒu,murderer
gēnběn,at-all
bù,not
rènshi.,know-each-other.
Jǐngfāng,police
gōngbù,announce
xiōngshǒu,murderer
zhàopiàn,photo
"hòu,","after,"
tā de,his
yīgè,one
tèzhēng,characteristic
yǐnqǐle,aroused
méitǐ de,media's
zhùyì.,pay-attention.
Kěyǐ,Can
kàn dào,see to
xiōngshǒu de,murderer's
yǎnjīng,eye
"xiàfāng,","downward,"
yǒu,there-be
yīgè,one
lèi dī,tear-drop
xíngzhuàng de,shape's
wénshēn.,tattoo.
Yóuyú,due-to
wénhuà,culture
"chāyì,","gap,"
hěnduō,many
chūguó de,going-abroad
péngyǒu,friends
bìngbù,not-at-all
qīngchǔ,understand-clearly
yīxiē,some
wénshēn,tattoo
dàibiǎo,represent
de,that-which
wéixiǎn,dangerous
hányì.,connotation.
Bǐrú,For-example
zhège,this
"lèi dī,","tear-drop,"
tā,it
jiùshì,precisely-be
jiānyù zhōng,prison-among
zuì,most
chángjiàn de,commonly-seen
wénshēn:,tattoo:
Dàibiǎo,represents
wénshēn zhě,the-tatooed-one
shāle,killed
"rén,","people,"
huòzhě,or
fúxíng,serve-a-prison-sentence
hěn,very
cháng,long
shíjiān.,time.
Rúguǒ,If
běn'àn,this incident
zhōng,during
de,
shòuhài-zhě,the sufferer
tízǎo,in advance
zhùyì,pay attention
dào,to
zhège,this
wéixiǎn,dangerous
"wénshēn,",tattoo
lí,be away from
xiōngshǒu,murderer
yuǎn,far[ther]
"yīdiǎn,",a little
cǎn'àn,the tragedy
huòxǔ,perhaps
kěyǐ,can be
bìmiǎn.,avoid
,
12,
Xiànzài,now
yěyǒu,also there be
hěnduō,many
xīhā,hip hop
gēshǒu,performers
wéile,in order to
,
"bàn kù,",act cool
,
cì shàng,"""prick on"""
,
tóngyàng de,similar
,
wénshēn.,tattoos.
Dànshì,however
kàn dào,seeing
,
"zhèyàng de,",the such
,
lí,be away from
yuǎn,far[ther]
diǎn,a little
zǒng,always
méicuò.,can't go wrong.
