one,two
Este,Это
es,есть
el día,день
que,который
el Señor,Господь
ha preparado,приготовил
para,для
ti,тебя
,
Vamos,Идём
a disponer,расположить
ahora,сейчас
el corazón,сердце
para,"для того, чтобы"
adorar,поклоняться
,
Con,с
regocijo,весельем
en,в
su,его
presencia,присутствии
vamos,идём
todos,все
a cantar,петь
,
Es,Это
tiempo,время
de,о
que,котором
hagamos,да делаем
fiesta,праздник
en,в
su,его
hogar,жилище
,
,
Este,Это
es,есть
el día,день
,
Que,который
hizo,сделал
el Señor,Господь
,
Y,и
con,с
alegría,радостью
,
A,в
su,Его
casa,дом
voy,иду
,
,
Juntos,вместе
caminemos,да шагаем
a,в
la casa,дом
de mi,моего
padre,отца
,
"A celebrar,",праздновать
una fiesta,праздник
ha comenzado,начался
ahí,здесь
,
En,в
su,его
amor,любви
el Señor,Господь
ha preparado,приготовил
para,для
ti,тебя
,
Bendición,Благословение
y,и
delicias,удовольствия
a,к
su,его
diestra,правой стороне
,
Su,Его
amor,любовью
y,и
su,его
paz,миром
disfrutarás,будешь наслаждаться
